TENANT,SOH,ENCODE,IDENTIFY,LOOKUP,SEARCHANDPICK,INVENTORY,UPDATE_INVENTORY,RECEIVING,SHIPPING,PACKING,API_CALLS,REASON
CENT,PASSED,PASSED,N /A,N /A,N /A,FAILED,FAILED,FAILED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
CELINE,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,N /A,N /A,PASSED because is needed VPN
CHIP,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
FALA,PASSED,PASSED,PASSED,N /A,N /A,PASSED,FAILED,PASSED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
FALACO,PASSED,PASSED,PASSED,N /A,N /A,PASSED,FAILED,PASSED,PASSED,PASSED,N /A,It was a missing configuration
FALAPE,PASSED,PASSED,PASSED,N /A,N /A,PASSED,FAILED,PASSED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
FISIA,PASSED,PASSED,PASSED,N /A,N /A,FAILED,FAILED,FAILED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
IVONNE,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,FAILED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
OECHSLE,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,FAILED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
PEI,PASSED,PASSED,PASSED,N /A,N /A,PASSED,FAILED,FAILED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
PERN,PASSED,PASSED,PASSED,PASSED,PASSED,FAILED,FAILED,FAILED,FAILED,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
STUDIOF,PASSED,PASSED,PASSED,N /A,N /A,PASSED,FAILED,FAILED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
TORRA,PASSED,PASSED,PASSED,N /A,N /A,FAILED,FAILED,FAILED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518
TOSCA,N /A,N /A,N /A,N /A,N /A,N /A,N /A,FAILED,PASSED,PASSED,PASSED,https://mojixinc.atlassian.net/browse/RPLAT-41518
TRR,PASSED,PASSED,PASSED,PASSED,N /A,PASSED,FAILED,FAILED,N /A,N /A,N /A,https://mojixinc.atlassian.net/browse/RPLAT-41518