TENANT,SOH,ENCODE,IDENTIFY,LOOKUP,SEARCHANDPICK,INVENTORY,UPDATE_INVENTORY,RECEIVING,SHIPPING,PACKING,API_CALLS,XML_PROCESS,RECEIVING_TAGMANAGMENT,SENDING_TAGMANAGMENT,PREMISE_AUTO_CREATION,ENCODE_SUPPLYCHAIN,INSPECTING,REASON
CENT,PASSED,PASSED,N /A,N /A,N /A,PASSED,PASSED,FAILED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,"Bad products for receiving, the code was changed"
CELINE,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,
CHIP,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,FAILED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,Fail receiving  because more time was needed
FALA,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
FALACO,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
FALAPE,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
FISIA,PASSED,PASSED,PASSED,N /A,N /A,FAILED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
IVONNE,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
OECHSLE,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
PEI,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
PERN,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,FAILED,FAILED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,"Bad products for receiving, the code was changed"
STUDIOF,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,FAILED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
TORRA,PASSED,PASSED,PASSED,N /A,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,
TOSCA,N /A,N /A,N /A,N /A,N /A,N /A,N /A,PASSED,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,
TRR,PASSED,PASSED,PASSED,PASSED,N /A,PASSED,PASSED,PASSED,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,N /A,